"Id","AB_Thorn","AB_W_Thorn","Nar","Cal","cal_riosu_zr","Na_un_cusal","Na_un_cusba","srtm","slope","intDrain","extDrain","effDepth","trmm_0","trmm_1","trmm_2","trmm_3","tempAvg_0","tempRang_0","PrecAcc_0","tempAvg_1","tempRang_1","PrecAcc_1","tempAvg_2","tempRang_2","PrecAcc_2","tempAvg_3","tempRang_3","PrecAcc_3","Yield","Yield_2","Region"
112,0,1,0,0,0,0,1,2331,2,2,2,75,3.467805067,3.894923967,3.681143333,4.69856237,15.7,7.6,208,15.8,7.2,319,153,74,280,159,79,219,0.01356,0.86763053472242,"Caldas"
113,0,1,0,0,0,0,1,2331,2,2,2,75,3.766939667,5.1590607,3.039027833,3.319416237,15.7,7.6,208,15.8,7.2,319,153,74,280,159,79,219,0.01422,-1.88217845985909,"Caldas"
114,0,1,0,0,0,0,1,2331,2,2,2,75,3.401254767,2.907155333,4.404803667,3.214887937,15.8,8.4,178,15.7,7.6,208,158,72,319,153,74,280,0.01444,1.37953730799911,"Caldas"
115,0,1,0,0,0,0,1,2044,12,2,2,72,3.587651997,4.5636563,0.681857633,2.638219167,17,7.5,278,16.8,7.7,240,174,82,185,171,85,120,0.01452,-0.469038021223465,"Caldas"
116,0,1,0,0,0,0,1,2331,2,2,2,75,4.316876867,4.331336997,1.321534233,2.024288333,15.8,7.2,319,15.3,7.4,280,159,79,219,158,82,151,0.01467,0.0969302263140943,"Caldas"
117,1,1,0,0,0,0,1,2349,32,2,3,70,3.198423433,0.505885133,3.169303,1.818941397,15.7,7.9,222,15.5,8.1,155,151,81,130,151,76,181,0.01499,1.11649511127318,"Caldas"
118,1,1,0,0,0,0,1,2349,32,2,3,70,4.457345197,1.402927133,1.4770781,2.8522697,15.1,7.4,286,15.7,7.9,222,155,81,155,151,81,130,0.01499,-0.718961460421022,"Caldas"
119,1,1,0,0,0,0,1,2267,7,2,3,70,4.491263237,1.2143429,1.877478467,1.9971631,14.5,7.4,285,15.2,7.9,222,151,82,159,147,81,129,0.015,0.244960146667635,"Caldas"
120,0,1,0,0,0,0,1,2044,12,2,2,72,4.316876867,4.331336997,1.321534233,2.024288333,17,7.5,278,16.8,7.7,240,174,82,185,171,85,120,0.015,0.171073338873384,"Caldas"
121,1,1,0,0,0,0,1,2349,32,2,3,70,5.12286273,1.376048667,0.8431986,3.685684733,15.1,7.4,286,15.7,7.9,222,155,81,155,151,81,130,0.01529,0.607503433918755,"Caldas"
122,1,1,0,0,0,0,1,2349,32,2,3,70,4.316876867,4.331336997,1.321534233,2.024288333,15.5,7.2,321,15.1,7.4,286,157,79,222,155,81,155,0.01558,-1.40578093554966,"Caldas"
123,1,1,0,0,0,0,1,2349,32,2,3,70,3.587651997,4.5636563,0.681857633,2.638219167,15.5,7.2,321,15.1,7.4,286,157,79,222,155,81,155,0.01558,0.157787185879213,"Caldas"
124,1,1,0,0,0,0,1,2349,32,2,3,70,1.385043767,0.8442071,3.424325433,1.711834997,15.7,7.9,222,15.5,8.1,155,151,81,130,151,76,181,0.01558,1.67103369474459,"Caldas"
